Neighborhood,Median Housing Price
FRENCH QUARTER,375403
CENTRAL BUSINESS DISTRICT,399405
NEW AURORA - ENGLISH TURN,161375
CENTRAL CITY,259066
LOWER GARDEN DISTRICT,328449
LAKE CATHERINE,255698
AUDUBON,873282
LITTLE WOODS,172718
SEVENTH WARD,211026
LOWER NINTH WARD,133981
BYWATER,363375
LEONIDAS,318836
LAKEVIEW,471213
MID-CITY,350485
WEST END,377001
MARIGNY,410060
ST. ROCH,182946
TREME - LAFITTE,293590
BROADMOOR,360274
READ BLVD EAST,186622
WEST RIVERSIDE,620611
MARLYVILLE - FONTAINBLEAU,431717
MILNEBURG,200749
FILMORE,306250
HOLLYGROVE,183475
ST. CLAUDE,175718
GARDEN DISTRICT,603150
LAKESHORE - LAKE VISTA,620942
UPTOWN,660394
TULANE - GRAVIER,249612
EAST CARROLLTON,467304
IRISH CHANNEL,424310
GENTILLY TERRACE,227759
MILAN,348986
FAIRGROUNDS,272942
TALL TIMBERS - BRECHTEL,233908
HOLY CROSS,162661
LAKEWOOD,691400
BEHRMAN,154483
OLD AURORA,209398
PINES VILLAGE,119286
ST. THOMAS DEV,364853
FLORIDA AREA,130118
TOURO,637307
BLACK PEARL,421065
FRERET,378492
VILLAGE DE LEST,124589
READ BLVD WEST,149697
DILLARD,201227
EAST RIVERSIDE,496722
NAVARRE,375084
McDONOGH,212856
DESIRE AREA,102787
ST. ANTHONY,221474
ALGIERS POINT,372071
BAYOU ST. JOHN,374465
WEST LAKE FOREST,129449
PLUM ORCHARD,139943
WHITNEY,152357
GENTILLY WOODS,166938
DIXON,186536
VIAVANT - VENETIAN ISLES,162874
ST. BERNARD AREA,213929
GERT TOWN,181147
LAKE TERRACE & OAKS,450929
PONTCHARTRAIN PARK,172643
U.S. NAVAL BASE,133749
CITY PARK,421323
FISCHER DEV,118918
B. W. COOPER,130123